metric,src_layer,tgt_layer,sdc_group,task_count,macro_mean_value,task_std_value
cos_sim,5,6,non_sdc,9,0.8145923069001451,0.0573820754870562
cos_sim,5,6,non_significant_sdc,9,0.8058170265075062,0.05857307523948582
cos_sim,5,6,significant_sdc,9,0.2837620972273691,0.0860057568247599
cos_sim,6,7,non_sdc,9,0.7111349114813792,0.13447606556079827
cos_sim,6,7,non_significant_sdc,9,0.6834645198823817,0.12155196289629833
cos_sim,6,7,significant_sdc,9,0.35493982185020145,0.062007925514463165
cos_sim,7,8,non_sdc,9,0.7313482589290526,0.11413850097751227
cos_sim,7,8,non_significant_sdc,9,0.7102622707254975,0.10737515736759178
cos_sim,7,8,significant_sdc,9,0.19656958499385546,0.09962412099804549
cos_sim,8,9,non_sdc,9,0.7743143512257032,0.09379613120680494
cos_sim,8,9,non_significant_sdc,9,0.7636432298318059,0.08369992771191852
cos_sim,8,9,significant_sdc,9,0.3112571118772236,0.07811677468622248
cos_sim,9,10,non_sdc,9,0.7897048527714838,0.08936726595814033
cos_sim,9,10,non_significant_sdc,9,0.771127592872374,0.09017601028043731
cos_sim,9,10,significant_sdc,9,0.30420484335265435,0.05397822385330243
cos_sim,10,11,non_sdc,9,0.7306912604956408,0.10214648626560074
cos_sim,10,11,non_significant_sdc,9,0.7253942611310366,0.09672348432302923
cos_sim,10,11,significant_sdc,9,0.16025047444900656,0.11932834690816424
cos_sim,11,12,non_sdc,9,0.7578696252962452,0.09170158110787077
cos_sim,11,12,non_significant_sdc,9,0.7495790278258496,0.08200817716376453
cos_sim,11,12,significant_sdc,9,0.171277250010239,0.09971023227256708
cos_sim,12,13,non_sdc,9,0.759440264570054,0.10021459422401773
cos_sim,12,13,non_significant_sdc,9,0.7456568947602309,0.09258876819062642
cos_sim,12,13,significant_sdc,9,0.2607794957242498,0.08009035410239854
cos_sim,13,14,non_sdc,9,0.7755243923994544,0.08601754598018639
cos_sim,13,14,non_significant_sdc,9,0.7582838662403764,0.07930714641774568
cos_sim,13,14,significant_sdc,9,0.1982227703217638,0.07784203875783743
cos_sim,14,15,non_sdc,9,0.791132127577838,0.08345037997251671
cos_sim,14,15,non_significant_sdc,9,0.7653265424698437,0.07459706719410639
cos_sim,14,15,significant_sdc,9,0.33809797987837986,0.07862078534351759
cos_sim,15,16,non_sdc,9,0.744968471879447,0.1124984723958453
cos_sim,15,16,non_significant_sdc,9,0.7274103414544005,0.10301106655337428
cos_sim,15,16,significant_sdc,9,0.1966539248132188,0.14584114675708731
cos_sim,16,17,non_sdc,9,0.7268238852599539,0.09939156711948854
cos_sim,16,17,non_significant_sdc,9,0.7202878869601914,0.08937532958312779
cos_sim,16,17,significant_sdc,9,0.20466492932257868,0.1029168144046594
cos_sim,17,18,non_sdc,9,0.7561007146724501,0.1016623520925385
cos_sim,17,18,non_significant_sdc,9,0.737234933992429,0.09260769194510132
cos_sim,17,18,significant_sdc,9,0.4187985851736608,0.10042710930162418
cos_sim,18,19,non_sdc,9,0.786787167967999,0.08857378296936196
