job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,strict_finite_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_lingoqa,internvl3,lingoqa,without_l2_distance,metric,l2_distance,27,full,0.7417159080505371,181,22757,4069,5827,5827,36,324,321,317,4,7,5499,0.9875389408099688,0.9783950617283952,0.0007268762493185,0.9829457364341084
internvl3_lingoqa,internvl3,lingoqa,without_l2_distance,metric,l2_distance,27,strict_finite,0.7417159080505371,181,22757,4069,5827,5596,36,93,90,86,4,7,5499,0.9555555555555556,0.9247311827956988,0.0007268762493185,0.9398907103825136
internvl3_vqav2,internvl3,vqav2,without_l2_distance,metric,l2_distance,27,full,0.5120087265968323,8,22389,3796,6071,6086,36,344,327,323,4,21,5738,0.9877675840978594,0.938953488372093,0.0006966213862765,0.96274217585693
internvl3_vqav2,internvl3,vqav2,without_l2_distance,metric,l2_distance,27,strict_finite,0.5120087265968323,8,22389,3796,6071,5841,36,99,82,78,4,21,5738,0.951219512195122,0.7878787878787878,0.0006966213862765,0.861878453038674
llava15_earthvqa,llava15,earthvqa,without_l2_distance,metric,l2_distance,27,full,0.8626616597175598,235,22878,4047,5786,5786,36,131,125,124,1,7,5654,0.992,0.9465648854961832,0.0001768346595932,0.96875
llava15_earthvqa,llava15,earthvqa,without_l2_distance,metric,l2_distance,27,strict_finite,0.8626616597175598,235,22878,4047,5786,5669,36,14,8,7,1,7,5654,0.875,0.5,0.0001768346595932,0.6363636363636364
llava15_lingoqa,llava15,lingoqa,without_l2_distance,metric,l2_distance,27,full,0.506959855556488,2,22762,4070,5830,5830,36,140,121,120,1,20,5689,0.9917355371900828,0.8571428571428571,0.0001757469244288,0.9195402298850576
llava15_lingoqa,llava15,lingoqa,without_l2_distance,metric,l2_distance,27,strict_finite,0.506959855556488,2,22762,4070,5830,5719,36,29,10,9,1,20,5689,0.9,0.3103448275862069,0.0001757469244288,0.4615384615384615
llava15_vqav2,llava15,vqav2,without_l2_distance,metric,l2_distance,27,full,0.5081201195716858,3,22394,3806,6071,6094,36,124,131,108,23,16,5947,0.8244274809160306,0.8709677419354839,0.0038525963149078,0.8470588235294118
llava15_vqav2,llava15,vqav2,without_l2_distance,metric,l2_distance,27,strict_finite,0.5081201195716858,3,22394,3806,6071,5993,36,23,30,7,23,16,5947,0.2333333333333333,0.3043478260869565,0.0038525963149078,0.2641509433962264
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_l2_distance,metric,l2_distance,27,full,0.5318490266799927,6,22831,4041,5779,5772,36,169,159,159,0,10,5603,1.0,0.940828402366864,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_l2_distance,metric,l2_distance,27,strict_finite,0.5318490266799927,6,22831,4041,5779,5659,36,56,46,46,0,10,5603,1.0,0.8214285714285714,0.0,0.9019607843137256
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_l2_distance,metric,l2_distance,27,full,0.7523015737533569,219,22745,4067,5830,5824,36,179,166,142,24,37,5621,0.8554216867469879,0.7932960893854749,0.0042515500442869,0.8231884057971014
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_l2_distance,metric,l2_distance,27,strict_finite,0.7523015737533569,219,22745,4067,5830,5732,36,87,74,50,24,37,5621,0.6756756756756757,0.5747126436781609,0.0042515500442869,0.6211180124223602
qwen25_vl_vqav2,qwen25_vl,vqav2,without_l2_distance,metric,l2_distance,27,full,0.7584187388420105,213,22380,3802,6057,6084,36,190,137,137,0,53,5894,1.0,0.7210526315789474,0.0,0.8379204892966361
qwen25_vl_vqav2,qwen25_vl,vqav2,without_l2_distance,metric,l2_distance,27,strict_finite,0.7584187388420105,213,22380,3802,6057,5993,36,99,46,46,0,53,5894,1.0,0.4646464646464646,0.0,0.6344827586206897
internvl3_earthvqa,internvl3,earthvqa,without_mean_diff,metric,mean_diff,27,full,0.9873247146606444,562,22824,4039,5764,5773,36,311,292,292,0,19,5462,1.0,0.9389067524115756,0.0,0.9684908789386402
internvl3_earthvqa,internvl3,earthvqa,without_mean_diff,metric,mean_diff,27,strict_finite,0.9873247146606444,562,22824,4039,5764,5551,36,89,70,70,0,19,5462,1.0,0.7865168539325843,0.0,0.8805031446540881
internvl3_lingoqa,internvl3,lingoqa,without_mean_diff,metric,mean_diff,27,full,0.6589855551719666,75,22757,4069,5827,5827,36,324,322,317,5,7,5498,0.984472049689441,0.9783950617283952,0.0009085953116481,0.9814241486068112
internvl3_lingoqa,internvl3,lingoqa,without_mean_diff,metric,mean_diff,27,strict_finite,0.6589855551719666,75,22757,4069,5827,5596,36,93,91,86,5,7,5498,0.945054945054945,0.9247311827956988,0.0009085953116481,0.9347826086956522
internvl3_vqav2,internvl3,vqav2,without_mean_diff,metric,mean_diff,27,full,0.5043541193008423,0,22389,3796,6071,6086,36,344,327,323,4,21,5738,0.9877675840978594,0.938953488372093,0.0006966213862765,0.96274217585693
